
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Indonesia,Kepulauan-riau,Stable_Forest,101.4582883870185,6.332089690465889,2019,17.988771438598633,100,182,371,174,737,3004,3790,3752,4119,4018,2076,852,222,4133,4,18,38,18,0.9113601446151733,2.6063519813519815,1.3668661657965109,0.9536188392926306,0.28757721185684204,-0.8200339674949646,0.629887044429779,0.6716417670249939,724.22143802382
Indonesia,Kepulauan-riau,Stable_Forest,101.65196516227466,6.592960448974198,2019,97.9686050415039,125,200,412,167,822,2987,3818,3746,4137,4020,2085,872,222,4069,4,17,42,22,0.9146434664726257,2.7539242843951985,1.3717899578382522,0.9554134278419042,0.28485679626464844,-0.8018277883529663,0.622347354888916,0.6401050686836243,723.9226327944573
Indonesia,Kepulauan-riau,Stable_Forest,101.82246540320055,6.441594323600059,2019,64.067543,1032,1726,1862,1920,2441,2353,2594,2182,2706,1941,3748,3595,246,3851,5,196,190,176,0.06387127935886383,0.8641160949868074,0.09579524680073126,0.12004912068550766,-0.2640809416770935,-0.07912957668304443,-0.244590625166893,-0.056024227291345596,778.1818181818181
Singapore,Marine Parade,Stable_Forest,109.2485683624314,0.24276970553330068,2021,20.384723663330078,172.5,237,504,209,832,2720.5,3355,3179,3592,3541.5,1508.5,615.5,87,4866,4,22,52,25,0.8766233921051025,2.795031055900621,1.3147410358565736,0.9342463935090564,0.3563733398914337,-0.7263100743293762,0.6755830645561218,0.5851408839225769,722.6065660577177
Indonesia,Bangka Belitung,Deforestation_Hotspot,109.28881288715995,0.18788264167359792,2021,54.44994354248047,157.5,195.5,405,178.5,716.5,2264.5,3038.5,3057.5,3338,3173.5,1300.5,498.5,71.5,4987.5,4,19,41,20,0.8896785974502563,2.702525110297569,1.3343117565271125,0.9416099786380983,0.40316659212112427,-0.7660650014877319,0.7196288108825684,0.6202967762947083,725.1679586563307
Brunei Darussalam,Belait,Stable_Forest,114.89187480879865,2.5916845104490256,2019,195.178162,237.5,237.5,454.5,249.0,893.5,2668.5,3426.0,3285.0,3716.5,3872.0,1702.0,671.0,158.5,2198.0,4,25.5,46.5,25.0,0.8590831756591797,2.531054606085869,1.2884424954024614,0.9241902492190093,0.31742531061172485,-0.7569193840026855,0.660768449306488,0.5723345875740051,723.6140845070422
Brunei Darussalam,Belait,Stable_Forest,114.93077186060103,3.0307810213266477,2021,370.551514,217.0,254.0,430.5,277.5,821.0,2565.0,3248.5,3344.0,3869.5,3602.5,1477.5,590.5,106.5,3716.5,4,28.5,44.0,26.0,0.8467485904693604,2.469001610305958,1.2699475427940365,0.9170041705260701,0.38712018728256226,-0.7718903422355652,0.6998348236083984,0.6057623028755188,723.9048165137615
Indonesia,Sulawesi Barat,Deforestation_Hotspot,115.7867764948385,-4.824087823014448,2019,363.479614,1272.5,1245.5,1329.5,1033,1535,3001.5,3839.5,3934,4104,4217,1990.5,1111,200,3186.5,5.5,105.5,135.5,127,0.5840547680854797,9.160088411746132,0.8759939607448415,0.7373927752073541,0.3280445635318756,-0.49482282996177673,0.559563934803009,0.43865424394607544,726.5095465393795
Indonesia,Sulawesi Barat,Deforestation_Hotspot,113.46508064303161,-6.893896069154238,2019,49.314579,556.0,396.0,709.0,695,1243,2636.0,3244.0,3310,3411,3085,2455.0,1620,156,2953.0,4.0,70.0,74.0,43,0.6529338359832764,1.4492352028375084,0.979278492073399,0.7900051515089217,0.14830875396728516,-0.6471759080886841,0.34279918670654297,0.45398637652397156,723.2537688442211
Indonesia,Sulawesi Barat,Deforestation_Hotspot,113.75568563744427,-6.990824288310734,2019,64.947265625,281.0,237.0,438.0,277,696,1936.0,2438.0,2626,2799,3262,1566.0,740,200,2600.0,4.0,29.0,45.0,25,0.8091629147529602,2.338244077244674,1.213535388324436,0.8944984061295145,0.2528626024723053,-0.7140992283821106,0.5603089928627014,0.5809752941131592,723.671370967742
Indonesia,Sulawesi Barat,Deforestation_Hotspot,113.26790043816737,-6.97222916192946,2019,30.760560989379883,533.0,571.0,827.0,894,1312,2324.0,2642.0,2994,3062,2905,2910.0,1731,159,2745.0,4.0,90.0,85.0,60,0.540123462677002,1.287869495891083,0.8100810081008101,0.7013678271546269,0.014227642677724361,-0.5671290159225464,0.2673015892505646,0.3906177282333374,720.7707509881423
Indonesia,Gorontalo,Mixed_Landscape,123.50159798638538,0.8828193454684597,2021,26.87887191772461,242.5,377.0,695.5,589,1250.0,2604,2862,2838,3254.5,3233.0,2464.5,1356,111,4456,4,60.5,71,39.0,0.6562591195106506,1.585813002397405,0.9842450765864333,0.792430499576767,0.07043847441673279,-0.6063393354415894,0.35336193442344666,0.38845402002334595,717.2913589364845
Indonesia,Gorontalo,Mixed_Landscape,123.73048872077904,0.8246085150575148,2021,418.80011,250.0,167.5,439.0,176,681.5,2831,3544,3940,3809.0,3640.5,1598.0,668,106,4371,4,18.5,45,17.5,0.9144800901412964,2.515538327875426,1.3715535041904532,0.9553245330494065,0.4228963553905487,-0.7994976043701172,0.7100694179534912,0.7050741314888,724.1893463596185
Mexico,Campeche,Stable_Forest,-85.99774335815106,15.449181340523324,2020,284.80069,291,258,502.0,262,909.0,3144,3899.0,4100,4283.0,4159,2063,925.0,79,2336,4,27.0,52,27,0.8798716068267822,2.566880684858213,1.3196561604584527,0.9360902652097138,0.3305208384990692,-0.7818340063095093,0.6318408250808716,0.6370533108711243,723.3456375838927
