
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Madagascar,Alaotra Mangoro,Stable_Forest,47.58766827129697,-15.312008596638274,2019,7.2942328453063965,220.0,256.0,472.0,648.0,973.0,1115.0,1243.0,1252.0,1392.0,1481.0,1800.0,1440.0,112.0,1613.0,5.0,66.0,48.0,29.0,0.31789472699165344,0.46879850977957155,0.4767166535122336,0.4823283994751364,-0.17955438792705536,-0.4524362087249756,-0.06983654946088791,0.12539325654506683,698.2218309859155
Madagascar,Alaotra Mangoro,Stable_Forest,47.4962197753736,-15.877947225633573,2019,11.029232025146484,247.0,337.0,678.0,910.0,1265.0,1852.0,2056.0,2170.0,2288.0,2226.0,2367.0,1489.0,130.0,1969.0,5.0,93.0,69.0,35.0,0.40909090638160706,0.6172234740864113,0.6135367635124168,0.5805890540541441,-0.043420761823654175,-0.523876428604126,0.18611642718315125,0.2634643316268921,717.9982964224872
Madagascar,Alaotra Mangoro,Stable_Forest,47.36650304834674,-16.20367634765531,2019,1.22843599319458,366.0,496.0,935.0,1762.0,2162.0,2329.0,2507.0,2631.0,2721.0,2698.0,4139.0,3399.0,132.0,1915.0,5.0,180.0,96.0,52.0,0.1978147029876709,0.2290700126528891,0.29668828951860704,0.33025062995966437,-0.22274741530418396,-0.475602924823761,-0.1273631900548935,0.09785103052854538,699.2365269461078
Madagascar,Alaotra Mangoro,Stable_Forest,48.02146472199829,-14.342636573544898,2019,1.0619250535964966,300.0,549.0,853.0,1113.0,1631.0,2362.0,2647.5,2847.0,3042.0,2870.0,3360.0,2098.5,87.0,2116.0,4.0,113.5,87.0,56.0,0.4378787875175476,0.8015161320144217,0.6567352606994067,0.6090203522016964,-0.0826486200094223,-0.5389189124107361,0.15134970843791962,0.271549791097641,716.9339945280437
Madagascar,Alaotra Mangoro,Stable_Forest,47.56116797041545,-15.938224181197992,2019,1.4534660577774048,232.0,620.0,902.0,1356.0,1562.0,1825.0,2114.0,2296.0,2499.0,2364.0,3317.0,2616.0,132.0,2014.0,5.0,138.0,92.0,62.0,0.2573932111263275,0.40636347916306415,0.38603696098562634,0.40935501230705995,-0.18189916014671326,-0.43589743971824646,-0.06514658033847809,0.19025401771068573,728.022813688213
Madagascar,Alaotra Mangoro,Stable_Forest,47.105542458310026,-15.244185792687249,2019,124.108452,237.0,147.0,329.0,206.0,695.0,1607.0,1962.0,2062.0,2258.0,2098.0,1519.0,724.0,117.0,1959.0,4.0,21.0,34.0,15.0,0.8183421492576599,2.112451627589347,1.2272426713687459,0.9000751843241233,0.151633620262146,-0.7248013615608215,0.48025843501091003,0.4958288073539734,719.9287280701755
Madagascar,Alaotra Mangoro,Stable_Forest,47.41267645395049,-16.164240306682462,2019,3.3590550422668457,390.0,448.0,661.0,976.0,1494.0,1844.0,1992.0,2068.0,2278.0,2405.0,2965.0,1988.0,131.0,1898.0,5.0,99.0,67.0,44.0,0.358738511800766,0.5980284775465499,0.5380193792084086,0.5279861661570067,-0.17822372913360596,-0.5155734419822693,0.019723866134881973,0.16114541888237,704.0
Madagascar,Alaotra Mangoro,Stable_Forest,47.728703770903735,-15.157318704712893,2019,18.254545211791992,94.5,166.0,382.0,300.5,845.5,1764.0,2075.5,2297.0,2429.0,2307.0,1778.5,906.5,100.0,1874.0,4.0,30.5,38.5,18.5,0.7686236500740051,1.7476365546218486,1.1527136258660509,0.8691524321980069,0.1272236555814743,-0.7148189544677734,0.43405649065971375,0.4618934094905853,718.0511703864997
Madagascar,Alaotra Mangoro,Stable_Forest,48.05281592541406,-15.059312507215452,2019,2.0144050121307373,414.5,518.0,838.5,1318.0,1673.0,1939.0,2090.0,2181.0,2357.5,2372.5,3208.5,2112.0,120.0,2079.0,5.0,134.5,85.5,53.0,0.24664190411567688,0.3477034649476229,0.3699099871410202,0.3956352342970604,-0.19064848124980927,-0.44461002945899963,0.016072675585746765,0.13181111216545105,709.078947368421
Madagascar,Alaotra Mangoro,Stable_Forest,47.70121532320968,-16.778777792548627,2019,43.461185455322266,265.5,263.5,478.5,522.0,1212.5,1940.0,2267.5,2303.0,2565.0,2362.0,2151.0,1363.0,104.0,1544.0,4.0,53.5,48.5,26.5,0.6304425001144409,1.2869426981718333,0.9454963723234826,0.773301062412429,0.03412662819027901,-0.6559410095214844,0.25641027092933655,0.3101976811885834,713.7680412371134
