
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Indonesia,Kepulauan-riau,Stable_Forest,101.4582883870185,6.332089690465889,2019,17.988771438598633,100,182,371,174,737,3004,3790,3752,4119,4018,2076,852,222,4133,4,18,38,18,0.9113601446151733,2.6063519813519815,1.3668661657965109,0.9536188392926306,0.28757721185684204,-0.8200339674949646,0.629887044429779,0.6716417670249939,724.22143802382
Indonesia,Kepulauan-riau,Stable_Forest,101.65196516227466,6.592960448974198,2019,97.9686050415039,125,200,412,167,822,2987,3818,3746,4137,4020,2085,872,222,4069,4,17,42,22,0.9146434664726257,2.7539242843951985,1.3717899578382522,0.9554134278419042,0.28485679626464844,-0.8018277883529663,0.622347354888916,0.6401050686836243,723.9226327944573
Indonesia,Kepulauan-riau,Stable_Forest,101.82246540320055,6.441594323600059,2019,64.067543,1032,1726,1862,1920,2441,2353,2594,2182,2706,1941,3748,3595,246,3851,5,196,190,176,0.06387127935886383,0.8641160949868074,0.09579524680073126,0.12004912068550766,-0.2640809416770935,-0.07912957668304443,-0.244590625166893,-0.056024227291345596,778.1818181818181
Singapore,Marine Parade,Stable_Forest,109.2485683624314,0.24276970553330068,2021,20.384723663330078,172.5,237,504,209,832,2720.5,3355,3179,3592,3541.5,1508.5,615.5,87,4866,4,22,52,25,0.8766233921051025,2.795031055900621,1.3147410358565736,0.9342463935090564,0.3563733398914337,-0.7263100743293762,0.6755830645561218,0.5851408839225769,722.6065660577177
Indonesia,Bangka Belitung,Deforestation_Hotspot,109.28881288715995,0.18788264167359792,2021,54.44994354248047,157.5,195.5,405,178.5,716.5,2264.5,3038.5,3057.5,3338,3173.5,1300.5,498.5,71.5,4987.5,4,19,41,20,0.8896785974502563,2.702525110297569,1.3343117565271125,0.9416099786380983,0.40316659212112427,-0.7660650014877319,0.7196288108825684,0.6202967762947083,725.1679586563307
Brunei Darussalam,Belait,Stable_Forest,114.89187480879865,2.5916845104490256,2019,195.178162,237.5,237.5,454.5,249.0,893.5,2668.5,3426.0,3285.0,3716.5,3872.0,1702.0,671.0,158.5,2198.0,4,25.5,46.5,25.0,0.8590831756591797,2.531054606085869,1.2884424954024614,0.9241902492190093,0.31742531061172485,-0.7569193840026855,0.660768449306488,0.5723345875740051,723.6140845070422
Brunei Darussalam,Belait,Stable_Forest,114.93077186060103,3.0307810213266477,2021,370.551514,217.0,254.0,430.5,277.5,821.0,2565.0,3248.5,3344.0,3869.5,3602.5,1477.5,590.5,106.5,3716.5,4,28.5,44.0,26.0,0.8467485904693604,2.469001610305958,1.2699475427940365,0.9170041705260701,0.38712018728256226,-0.7718903422355652,0.6998348236083984,0.6057623028755188,723.9048165137615
