
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_NDWI
Brazil,Amazonas,Stable_Forest,-60.96178622126841,-7.8079318707458505,2019,185.163971,251.5,215.0,339.0,207.5,633.5,2041.5,2628.0,2442.5,2958.0,3064.5,1513.0,633.5,62.0,3338.5,4.0,21.0,34.0,21.5,0.8433962464332581,2.691473988439306,-0.7562466263771057
Brazil,Amazonas,Stable_Forest,-56.69604626309845,-10.536923872372546,2019,31.554767608642578,218.5,225.0,399.0,221.5,753.0,2344.0,2860.5,2793.0,3140.0,3135.0,1126.0,423.0,66.5,2608.5,4.0,23.0,41.0,23.0,0.8530436158180237,2.639601724491891,-0.75
Brazil,Amazonas,Stable_Forest,-62.281231710583164,-8.628003893618562,2019,251.140839,214.0,235.0,311.0,212.0,651.0,1918.0,2468.0,2277.0,2937.0,2952.0,1459.0,609.0,71.0,3180.0,4.0,22.0,33.0,24.0,0.8296504616737366,2.8881118881118883,-0.7596599459648132
Brazil,Amazonas,Stable_Forest,-64.73821384417846,-3.827317183755427,2019,234.692688,325.0,311.0,500.5,298.0,815.0,2139.5,2605.5,2790.0,2906.0,3064.0,1597.5,697.0,129.0,3913.5,4.0,31.0,51.0,32.0,0.8069947957992554,2.7732027598486537,-0.6957908868789673
Brazil,Amazonas,Stable_Forest,-62.46888977343573,-8.626207263050324,2019,189.976028,221.0,262.0,405.0,235.0,705.0,2184.0,2742.0,2777.0,3187.0,2968.0,1475.0,610.0,65.0,3481.0,4.0,24.0,42.0,25.0,0.8439574837684631,2.858749437696806,-0.7454431056976318
Brazil,Amazonas,Stable_Forest,-60.16794500469199,-11.927246437604328,2019,43.500912,151.0,199.0,382.0,202.0,631.0,2030.0,2562.0,2640.0,2843.0,2821.0,1334.0,546.0,62.0,2411.0,4.0,21.0,39.0,21.0,0.8578465580940247,2.5820800677822495,-0.7471873164176941
Brazil,Amazonas,Stable_Forest,-58.544060465589126,-6.5881993779683645,2019,146.663132,188.0,228.0,401.5,225.5,690.5,2088.5,2668.0,2745.0,2959.0,2940.5,1436.0,569.5,61.0,3775.5,4.0,23.5,41.5,23.5,0.8481737375259399,2.636563415655086,-0.7447957992553711
Brazil,Amazonas,Stable_Forest,-56.35684241181492,-11.945482237871955,2019,131.279755,207.0,242.0,374.0,239.0,638.0,2045.0,2484.0,2486.0,2693.0,2849.0,1360.0,570.0,63.0,2058.0,4.0,25.0,38.0,24.0,0.8245871663093567,2.6673789173789175,-0.7384615540504456
Brazil,Amazonas,Stable_Forest,-55.29260829471852,-4.9000852960509595,2019,302.286346,232.0,272.0,402.0,254.0,608.0,2184.0,2755.0,3100.0,3109.0,3120.0,1496.0,651.0,76.0,3627.0,4.0,26.0,41.0,28.0,0.8485390543937683,2.7524177949709867,-0.7704169154167175
Brazil,Amazonas,Stable_Forest,-58.08205691496646,-10.501799744763472,2019,0.013644999824464321,443.0,510.0,720.5,882.5,1281.0,1795.0,2134.5,2225.0,2541.5,2673.5,3333.0,1956.5,69.0,2530.5,4.0,91.0,74.0,52.5,0.43201929330825806,0.9080762987012987,-0.5107791423797607
Brazil,Amazonas,Stable_Forest,-57.377957395273576,-8.090092701487793,2019,54.461002349853516,178.0,196.0,436.0,209.0,788.0,2556.0,3221.0,3222.0,3534.0,3511.0,1563.0,623.0,76.0,3062.0,4.0,22.0,44.0,22.0,0.8781696557998657,2.5049883604921845,-0.7616183757781982
Brazil,Amazonas,Stable_Forest,-63.28608718739926,-6.1640149008071266,2019,187.939072,251.0,295.0,476.0,273.0,758.0,2237.0,2821.0,2942.0,3137.0,3007.0,1443.0,571.0,204.0,4004.0,4.0,28.0,49.0,30.0,0.8301710486412048,2.817183871648723,-0.7214745283126831
