
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.32612002909803,2.8732165204920834,2019,273.9522399902344,277.0,332.0,564.0,300.0,913.0,2141.0,2588.0,2596.0,2881.0,2774.0,1500.0,680.0,92.0,3140.0,4,31.0,58.0,34.0,0.7928176522254944,3.0099632931305713,1.1890212325220093,0.8844179077673289,0.267578125,-0.6430379748344421,0.5848596096038818,0.47962382435798645,720.1343648208469
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.1146566112163,2.37698715754446,2019,230.925049,261.0,308.5,518.5,293.5,867.0,2660.5,3495.0,3368.0,3759.0,3779.0,1812.5,783.5,59.5,3390.0,4,30.0,53.0,31.5,0.8396831750869751,2.72924988903684,1.2593528126706717,0.9128444834573202,0.30026060342788696,-0.733178973197937,0.6225460767745972,0.5905548930168152,725.0466964036799
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.0259928926737,3.163552020319513,2019,208.71253967285156,259.5,311.0,493.0,269.0,897.5,2611.5,3136.5,3322.5,3558.0,3604.5,1815.0,827.0,52.0,2798.5,4,27.5,50.5,32.0,0.8502018451690674,2.93042226487524,1.2751252783964366,0.9190256708070592,0.2934306561946869,-0.7415803670883179,0.6013977527618408,0.5746445655822754,721.4432613768962
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.033269246475065,4.199848532079793,2019,280.353546,266.5,304.5,496.0,267.0,831.0,2687.5,3469.5,3171.0,3700.5,3721.5,1936.5,840.5,67.0,3314.5,4,28.0,51.0,30.5,0.8446771502494812,2.91536994277683,1.266831467209539,0.9157872720047635,0.24170337617397308,-0.7294791340827942,0.5809547305107117,0.5847076177597046,724.5549420953407
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.042521893901494,3.1601384222398585,2019,181.435669,259.0,293.0,498.5,269.0,760.0,2318.0,2966.0,3089.5,3242.5,3365.5,1678.0,745.0,52.0,2836.5,4,27.5,51.0,30.5,0.8398094177246094,2.8126246509772637,1.2595266448347722,0.912918029017419,0.29606711864471436,-0.7221293449401855,0.611422598361969,0.6051435470581055,724.2634788189987
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.31426226734765,2.0360765072211016,2019,186.40061950683594,249.5,296.5,526.0,263.0,826.0,2458.5,3146.0,3418.0,3399.5,3705.0,1797.0,781.0,58.0,3346.0,4,27.5,54.0,30.5,0.8571040630340576,2.844135941584783,1.2854814613608583,0.9230440266601363,0.310834139585495,-0.7332656979560852,0.6280066967010498,0.6107445955276489,723.8346094946401
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.32576070298438,2.38067025020935,2019,122.35802459716797,246.0,258.0,445.0,225.0,762.0,2547.0,3345.5,3415.0,3632.0,3263.0,1777.0,732.0,60.0,3313.5,4,23.5,45.5,26.5,0.8763736486434937,2.817025785941363,1.3143798928718584,0.9341051899436934,0.3154853582382202,-0.7694300413131714,0.646973729133606,0.635144829750061,725.063725490196
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-58.56624885310688,3.3578576162745652,2020,146.371506,307.0,340.0,543.0,303.0,969.0,2548.0,3452.0,3211.0,3665.0,4025.0,1821.0,764.0,65.0,3135.0,4,31.0,56.0,33.0,0.8275469541549683,2.931451612903226,1.2411438326931286,0.9056235643843138,0.27623212337493896,-0.7107085585594177,0.6155974864959717,0.5363636612892151,725.1377454084864
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.056625443862174,4.526835295499299,2020,241.049088,162.0,259.5,480.5,324.0,696.0,2055.0,2584.0,2522.0,2923.0,3219.0,1544.0,691.0,62.0,3259.0,4,33.5,50.0,28.5,0.7723120450973511,2.1799067737776454,1.158264535394344,0.8715083303804931,0.24053123593330383,-0.6799333691596985,0.5698723793029785,0.5674331784248352,724.5217071376012
French Guiana,Saint-laurent-du-maroni,Stable_Forest,-56.424036395067056,5.2663284373864885,2020,132.476913,824.0,1022.5,1218.5,1082.5,1508.0,2847.0,3406.0,3396.5,3673.0,3791.5,2207.0,1498.5,66.0,3498.5,6,110.5,124.5,104.0,0.516633152961731,2.601461495222035,0.7748632659895078,0.6812575966901022,0.21227803826332092,-0.4719393253326416,0.3877426087856293,0.3850545287132263,724.2447722180732
