
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Mexico,Campeche,Stable_Forest,-91.2140805499763,18.93428531679342,2019,18.745315551757812,229.0,247.0,451.0,293.0,806.0,2120.0,2563.0,2734.0,2822.0,2871.0,1054.0,524.0,204.0,4149.0,4,29.0,46.0,24.0,0.8064090013504028,2.3111153190683584,1.2094137076796037,0.8928135154460506,0.44350579380989075,-0.7167974710464478,0.6783302426338196,0.5446327924728394,721.5677321156774
Mexico,Campeche,Stable_Forest,-91.07933325735837,19.06004945657015,2019,5.706680774688721,181.5,237.5,462.5,253.0,808.5,2348.5,2778.0,2708.0,3061.0,3088.5,1020.0,448.0,204.0,4145.5,4,26.0,47.5,24.5,0.8291118144989014,2.5094551773484612,1.2434577072429511,0.9065574758087678,0.45278969407081604,-0.7082479000091553,0.7160963416099548,0.5401678085327148,721.0681818181819
Mexico,Campeche,Stable_Forest,-91.98420624305196,18.08843164526648,2019,38.00779342651367,14.0,149.0,539.0,254.0,989.0,2803.0,3420.0,3564.0,3700.0,3876.0,1776.0,768.0,282.0,3963.0,4,26.0,56.0,19.5,0.8669460415840149,2.0835956187838347,1.3002487887914103,0.9287224751628855,0.33483144640922546,-0.737265408039093,0.6454293727874756,0.5655611753463745,721.3616317530319
Mexico,Campeche,Stable_Forest,-88.06404817468278,19.882996088352048,2019,69.635094,216.0,264.0,609.0,359.5,1060.0,2506.0,3035.0,3106.0,3380.5,3277.5,1814.0,795.5,236.5,3077.0,4,36.5,61.5,27.5,0.7925263047218323,2.0908191230207067,1.1886180034622043,0.8842398004226197,0.2626016139984131,-0.6721400022506714,0.5922081470489502,0.49111858010292053,720.4244467496542
Mexico,Campeche,Stable_Forest,-90.91134829922802,15.451516960262035,2020,12.587910652160645,248.5,274.5,525.0,326.0,951.0,2938.5,3735.5,3802.5,4086.5,4100.5,2167.5,1044.5,91.0,2253.0,4,33.5,54.0,28.0,0.842073380947113,2.3485104370735663,1.2629571324775974,0.9142566217683452,0.2738693356513977,-0.7573657035827637,0.5690117478370667,0.5998737812042236,724.014465408805
Mexico,Campeche,Stable_Forest,-91.06621785421022,15.305810221177849,2020,83.793739,474.0,458.0,757.0,542.0,1207.0,2622.0,2800.0,2828.0,3032.0,2968.0,2223.0,1369.0,80.0,2079.0,4,55.0,76.0,47.0,0.6783382892608643,2.1598639455782314,1.0173564753004005,0.8083177262765275,0.11977826058864594,-0.5776848196983337,0.34762924909591675,0.4017348289489746,716.4770318021201
Mexico,Campeche,Stable_Forest,-90.7534244722798,16.076834229537635,2020,165.472794,313.5,314.5,604.0,290.5,978.0,3431.0,4265.0,4165.5,4552.0,4346.0,2234.0,969.0,113.5,3732.5,4,30.0,61.0,31.0,0.8696140050888062,2.7282968386960498,1.304274654998317,0.9302526848368871,0.30182045698165894,-0.7467239499092102,0.622553288936615,0.6197142004966736,723.545148797391
Mexico,Campeche,Stable_Forest,-90.30678211301559,16.120133026232196,2020,2.07845401763916,460.0,534.5,840.5,744.5,1493.5,2661.5,3097.0,3108.0,3456.0,3540.5,2777.0,1588.0,118.5,3701.0,4,76.5,86.0,54.0,0.6134977340698242,1.6563879739294975,0.920127173630937,0.7604275776261602,0.05624468997120857,-0.5742686986923218,0.32367971539497375,0.35086384415626526,717.802868150685
Mexico,Campeche,Stable_Forest,-91.07403319718206,16.518446023210792,2020,143.68515014648438,258.0,290.0,587.0,244.0,965.0,3275.0,3905.0,3912.0,4133.0,3947.0,1867.0,778.0,116.0,3520.0,4,25.0,60.0,30.0,0.8825793862342834,2.8638351030605866,1.323709852038975,0.9376203363444802,0.35386744141578674,-0.7390531301498413,0.6682302951812744,0.6042649149894714,721.810606060606
Mexico,Campeche,Stable_Forest,-91.26788963549505,15.354049751935067,2020,145.226791,363.0,415.5,728.5,571.5,1180.5,2645.0,3042.0,3005.0,3287.0,3223.0,2671.5,1638.5,70.5,1723.0,4,59.0,74.5,42.5,0.6804137825965881,1.8331450094161958,1.0204780542353928,0.8097913428746324,0.05875099077820778,-0.6097495555877686,0.29428231716156006,0.4359096884727478,719.9667121884602
