
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Ghana,Ashanti,Deforestation_Hotspot,-4.528631926067538,8.962806000009907,2021,16.5752010345459,996.5,957.0,1194.0,1013.0,1712.5,2850.5,3103.0,3092.0,3338.0,5135.0,2446.5,1864.5,233.0,3924.0,5.5,103.5,122.0,97.5,0.5064555406570435,2.6072234762979685,0.7595907928388748,0.672344712596896,0.11654780060052872,-0.4428371489048004,0.24765460193157196,0.28712666034698486,715.6260984182777
Ghana,Ashanti,Deforestation_Hotspot,-4.746742877051758,6.902430064353373,2021,55.35454559326172,312.5,290.0,655.0,336.5,1140.5,3325.0,3961.5,4146.5,4329.5,4139.5,2203.0,995.5,123.0,4006.5,4.0,35.0,67.0,30.0,0.8498772978782654,2.3863209319804586,1.2746738039478087,0.9188382280790393,0.30608710646629333,-0.727168619632721,0.6127966046333313,0.5685644149780273,721.1581597619593
Ghana,Ashanti,Deforestation_Hotspot,-4.5362676059825535,8.981850284033241,2021,16.03221893310547,1047.0,994.5,1367.0,1263.5,1957.0,3114.0,3462.0,3262.0,3741.5,3708.5,2692.0,2153.0,234.0,3554.5,4.5,129.0,139.5,101.5,0.4416086673736572,1.4758880437190756,0.6623398144056563,0.6126245684081368,0.09573396295309067,-0.4093756675720215,0.20480147004127502,0.250047892332077,717.2742005185826
Ghana,Ashanti,Deforestation_Hotspot,-3.829652803494138,9.002152209454342,2021,24.726301193237305,318.5,408.0,811.5,529.5,1244.5,2823.0,3229.5,3184.0,3440.0,3357.0,2152.5,1169.0,273.0,3764.0,4.0,54.5,83.0,42.5,0.7148243188858032,2.0097668079951543,1.072092084006462,0.8336779744017804,0.19329148530960083,-0.5937930345535278,0.4628991484642029,0.437958687543869,719.079822616408
Ghana,Ashanti,Deforestation_Hotspot,-3.0422794569633775,9.008709911028415,2021,0.5071330070495605,287.5,362.0,801.0,528.0,1289.5,3027.5,3483.0,3431.0,3718.0,3481.0,2488.5,1403.0,256.0,3850.0,4.0,54.0,82.0,37.0,0.7332659959793091,1.868082368082368,1.0997600707159996,0.8460900288996527,0.15921953320503235,-0.6214555501937866,0.4195283353328705,0.4536595642566681,719.4188722669735
Ghana,Ashanti,Deforestation_Hotspot,-2.08018378767137,8.861476035961225,2021,20.190946578979492,831.0,1060.0,1318.0,1263.0,1810.5,2983.0,3535.0,3472.0,3870.0,3694.0,2914.0,2092.5,198.0,4239.5,4.0,129.0,134.5,108.0,0.4665258824825287,1.7808771364076104,0.6997149192271144,0.6361993880000227,0.08737864345312119,-0.44968685507774353,0.24791085720062256,0.31452909111976624,722.5671641791045
Ghana,Ashanti,Deforestation_Hotspot,-2.0602411883639165,8.541675794814676,2021,1.1715970039367676,598.5,984.0,1201.0,1144.0,1590.5,2638.0,3001.5,2921.0,3122.0,3188.5,2704.5,1861.0,216.5,4113.0,4.5,116.5,122.0,101.0,0.4371463656425476,1.8464256026600168,0.6556389128028532,0.6083125182476579,0.03848546743392944,-0.4172731637954712,0.22166457772254944,0.29491299390792847,721.1133651551313
Ghana,Ashanti,Deforestation_Hotspot,-4.381308219471936,9.001523388755459,2021,23.112255096435547,571.0,378.5,695.0,482.0,1176.0,2439.5,2784.0,2588.0,3099.5,3164.5,2058.5,1205.5,291.5,3608.0,4.0,49.0,70.5,39.0,0.685993492603302,1.9926199261992619,1.0288226673180263,0.8137265116547496,0.1139567419886589,-0.5766067504882812,0.3644391596317291,0.37513282895088196,717.6592797783934
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.7928218768452377,9.59234535112087,2021,6.22771692276001,433.0,513.0,850.5,685.0,1224.0,2352.0,2695.5,2616.5,2872.5,2868.5,2222.5,1399.5,266.0,3672.0,4,70.5,86.5,52.0,0.585037112236023,1.6766493055555556,0.8774227740763174,0.7381629508104197,0.08142178505659103,-0.5093740820884705,0.3030378520488739,0.3625830113887787,719.4669769503546
Ghana,Brong Ahafo,Deforestation_Hotspot,-4.1602328280501215,10.19250979244112,2021,6.036953926086426,384.0,649.0,1211.0,1220.0,1860.5,3386.0,3837.0,3915.0,4177.5,4100.0,3262.0,2157.5,285.0,3664.0,4,124.5,123.5,66.5,0.524829626083374,1.0579414304781345,0.7871677538701198,0.6883506354997735,0.09098508954048157,-0.5275068283081055,0.2894195020198822,0.35572677850723267,720.3261225827597
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.5816279535487383,9.200590055716345,2021,49.887089,328.0,465.5,891.0,605.0,1263.5,2796.5,3229.0,3236.0,3418.0,3374.5,2215.5,1244.0,256.0,3931.0,4,62.0,91.5,46.5,0.6849778890609741,1.94845589868918,1.0273330730183523,0.8130173021991141,0.18719618022441864,-0.5682093501091003,0.4446428716182709,0.43838202953338623,719.9200913242009
Ghana,Brong Ahafo,Deforestation_Hotspot,-7.883749680725538,10.881607446889205,2021,1.4378809928894043,289.5,677.0,964.0,810.5,1332.5,2423.5,2701.5,2901.0,2967.0,3242.0,2404.0,1425.0,346.5,3470.0,4,83.0,98.5,70.5,0.5632493495941162,1.9446511627906977,0.8447602370689655,0.7205788788419341,0.09368520230054855,-0.5011643171310425,0.3411927819252014,0.3704972267150879,718.5861594867094
Ghana,Brong Ahafo,Deforestation_Hotspot,-8.083085842271661,10.039167373441918,2021,73.722961,270.5,335.5,600.0,400.0,1010.5,2465.5,2883.5,2939.0,3180.5,3113.5,1830.0,883.5,233.0,3609.5,4,40.5,61.5,34.5,0.7604073286056519,2.2478972996901283,1.1404401856565354,0.863879280049332,0.23254351317882538,-0.6609211564064026,0.5377370715141296,0.48828965425491333,720.1847079037801
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.722393958570267,10.73230744666854,2021,33.994407653808594,380.0,500.0,949.0,1146.0,1455.0,2961.0,3437.0,2906.0,3684.0,3702.0,2629.0,1639.0,314.0,3708.0,4,118.0,96.0,51.0,0.43435341119766235,0.7293220619923753,0.6514497223935842,0.6056024005279141,0.05004516616463661,-0.5076524019241333,0.2787678837776184,0.33272185921669006,724.4405710491368
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.7556316240826892,9.693405820584314,2021,0.5448660254478455,735.5,672.5,1243.0,1243.0,1588.5,2503.5,2790.0,2942.0,3004.0,4519.5,2499.0,1719.0,258.0,3824.0,7,128.0,126.5,68.0,0.4059737026691437,0.7928508096504737,0.6088878270218612,0.5774568320125582,0.08141885697841644,-0.4059737026691437,0.26239004731178284,0.29875290393829346,721.3715846994536
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.523686617723029,8.9702620168681,2021,131.519608,295.0,502.5,917.5,663.5,1214.5,2684.0,3018.5,3025.0,3223.5,3083.5,2176.5,1244.5,251.0,3995.0,4,67.5,94.0,53.0,0.6402331590652466,1.8231297768856636,0.9602195716996476,0.7806328520327952,0.16312602162361145,-0.5345593094825745,0.4170277416706085,0.42705509066581726,719.9217420891459
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.903957200336376,10.534678084162246,2021,18.110185623168945,362.0,533.5,870.5,884.0,1579.0,2607.5,2926.5,2903.0,3093.5,3112.5,2737.5,1875.0,175.0,3877.5,4,90.0,89.0,54.5,0.533139705657959,1.1998573720805847,0.7996039603960396,0.6954509474808219,0.02934136986732483,-0.53862464427948,0.2151527851819992,0.2954038381576538,716.1023334953816
Ghana,Brong Ahafo,Deforestation_Hotspot,-4.43718343014417,9.65459860031035,2021,33.921409606933594,292.0,325.5,669.0,393.0,1214.0,2850.5,3273.5,3442.0,3588.5,3540.5,2113.0,1023.5,243.5,4044.5,4,40.5,68.5,33.5,0.7950456142425537,2.2687699977676914,1.1924129839655846,0.8858075025318612,0.23924392461776733,-0.6745317578315735,0.5415967106819153,0.47852233052253723,718.2439657806294
Ghana,Brong Ahafo,Deforestation_Hotspot,-8.987868996436843,10.871097158065007,2021,13.573183059692383,363.0,484.0,933.0,768.0,1607.0,3438.0,4084.0,4018.0,4259.0,3843.0,2711.0,1512.0,353.0,4080.0,4,79.0,95.0,49.0,0.6790639162063599,1.6259755853512106,1.0184895017235978,0.8088408888370395,0.19423390924930573,-0.6231064200401306,0.45316454768180847,0.42862221598625183,720.6553795740033
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.9167132773708735,10.363099864895418,2021,0.6243690252304077,329.0,403.0,770.5,534.0,1247.5,3213.0,3747.0,3705.0,3980.5,3600.0,2364.5,1241.5,176.5,4146.5,4,55.0,79.0,41.5,0.748053789138794,2.0392282958199357,1.1219483429649724,0.8558537964809148,0.2208583950996399,-0.6556809544563293,0.4980289041996002,0.49621403217315674,720.9018061561943
Ghana,Brong Ahafo,Deforestation_Hotspot,-7.132129282502735,10.547883318838803,2021,0.2040109932422638,478.0,592.0,894.0,898.0,1502.0,2550.0,2970.0,3006.0,3258.0,3340.0,3051.0,2040.0,204.0,3301.0,4,90.0,91.0,60.0,0.5399590134620667,1.3324905183312263,0.8098348059930849,0.7012292902904846,-0.007429420482367277,-0.5415384769439697,0.19143876433372498,0.3336291015148163,719.4274809160305
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.876648415699143,10.084711958346778,2021,20.74277687072754,294.0,429.0,838.0,630.0,1434.0,2716.0,3157.0,3042.0,3394.0,3348.0,2482.0,1292.0,205.0,3515.0,4,65.0,86.0,44.0,0.656862735748291,1.672444875884066,0.9851599727705922,0.7928724152288851,0.10137581825256348,-0.5680412650108337,0.40378403663635254,0.3592493236064911,717.5448517940717
Ghana,Brong Ahafo,Deforestation_Hotspot,-7.197796129771872,10.820252512983842,2021,6.651022911071777,359.0,600.0,914.0,799.0,1301.0,2779.0,3449.0,3061.0,3600.0,3825.0,2205.0,1311.0,302.0,3319.0,4,85.0,93.0,59.0,0.5860103368759155,1.685041716328963,0.8789016966714156,0.7389426810855184,0.16255222260951996,-0.5401257872581482,0.40027448534965515,0.40348464250564575,724.4891745602165
Ghana,Brong Ahafo,Deforestation_Hotspot,-8.598269657714205,10.978984823687762,2021,37.433494567871094,227.0,404.0,720.0,578.0,1169.0,2635.0,3190.0,3243.0,3363.0,3315.0,2275.0,1281.0,340.0,4024.0,4,61.0,73.0,43.0,0.6974614262580872,1.8094785442694188,1.0460552139212351,0.8217473822660395,0.17542587220668793,-0.6366389393806458,0.4336870014667511,0.4700815975666046,722.0702592087313
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.925503044309691,10.949879408482289,2021,2.4385130405426025,541.0,626.0,1028.0,1120.0,1710.0,2580.0,2716.0,2920.0,2872.0,2860.0,3212.0,1917.0,195.0,3293.0,5,114.0,105.0,64.0,0.4455445408821106,0.909826122118884,0.6682341294394258,0.6163978678878266,-0.0476190485060215,-0.47922998666763306,0.2073599398136139,0.26133909821510315,713.3678160919541
