
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR,s2_RE_NDVI,s2_REP
Ghana,Ashanti,Deforestation_Hotspot,-4.528631926067538,8.962806000009907,2021,16.5752010345459,996.5,957,1194,1013.0,1712.5,2850.5,3103.0,3092.0,3338.0,5135.0,2446.5,1864.5,233,3924.0,5.5,103.5,122,97.5,0.5064555406570435,2.6072234762979685,0.7595907928388748,0.672344712596896,0.11654780060052872,-0.4428371489048004,0.24765460193157196,0.28712666034698486,715.6260984182777
Ghana,Ashanti,Deforestation_Hotspot,-4.746742877051758,6.902430064353373,2021,55.35454559326172,312.5,290,655,336.5,1140.5,3325.0,3961.5,4146.5,4329.5,4139.5,2203.0,995.5,123,4006.5,4.0,35.0,67,30.0,0.8498772978782654,2.3863209319804586,1.2746738039478087,0.9188382280790393,0.30608710646629333,-0.727168619632721,0.6127966046333313,0.5685644149780273,721.1581597619593
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.7928218768452377,9.59234535112087,2021,6.22771692276001,433.0,513.0,850.5,685.0,1224.0,2352.0,2695.5,2616.5,2872.5,2868.5,2222.5,1399.5,266.0,3672.0,4,70.5,86.5,52.0,0.585037112236023,1.6766493055555556,0.8774227740763174,0.7381629508104197,0.08142178505659103,-0.5093740820884705,0.3030378520488739,0.3625830113887787,719.4669769503546
Ghana,Brong Ahafo,Deforestation_Hotspot,-4.1602328280501215,10.19250979244112,2021,6.036953926086426,384.0,649.0,1211.0,1220.0,1860.5,3386.0,3837.0,3915.0,4177.5,4100.0,3262.0,2157.5,285.0,3664.0,4,124.5,123.5,66.5,0.524829626083374,1.0579414304781345,0.7871677538701198,0.6883506354997735,0.09098508954048157,-0.5275068283081055,0.2894195020198822,0.35572677850723267,720.3261225827597
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.5816279535487383,9.200590055716345,2021,49.887089,328.0,465.5,891.0,605.0,1263.5,2796.5,3229.0,3236.0,3418.0,3374.5,2215.5,1244.0,256.0,3931.0,4,62.0,91.5,46.5,0.6849778890609741,1.94845589868918,1.0273330730183523,0.8130173021991141,0.18719618022441864,-0.5682093501091003,0.4446428716182709,0.43838202953338623,719.9200913242009
Ghana,Brong Ahafo,Deforestation_Hotspot,-7.883749680725538,10.881607446889205,2021,1.4378809928894043,289.5,677.0,964.0,810.5,1332.5,2423.5,2701.5,2901.0,2967.0,3242.0,2404.0,1425.0,346.5,3470.0,4,83.0,98.5,70.5,0.5632493495941162,1.9446511627906977,0.8447602370689655,0.7205788788419341,0.09368520230054855,-0.5011643171310425,0.3411927819252014,0.3704972267150879,718.5861594867094
Ghana,Brong Ahafo,Deforestation_Hotspot,-8.083085842271661,10.039167373441918,2021,73.722961,270.5,335.5,600.0,400.0,1010.5,2465.5,2883.5,2939.0,3180.5,3113.5,1830.0,883.5,233.0,3609.5,4,40.5,61.5,34.5,0.7604073286056519,2.2478972996901283,1.1404401856565354,0.863879280049332,0.23254351317882538,-0.6609211564064026,0.5377370715141296,0.48828965425491333,720.1847079037801
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.722393958570267,10.73230744666854,2021,33.994407653808594,380.0,500.0,949.0,1146.0,1455.0,2961.0,3437.0,2906.0,3684.0,3702.0,2629.0,1639.0,314.0,3708.0,4,118.0,96.0,51.0,0.43435341119766235,0.7293220619923753,0.6514497223935842,0.6056024005279141,0.05004516616463661,-0.5076524019241333,0.2787678837776184,0.33272185921669006,724.4405710491368
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.7556316240826892,9.693405820584314,2021,0.5448660254478455,735.5,672.5,1243.0,1243.0,1588.5,2503.5,2790.0,2942.0,3004.0,4519.5,2499.0,1719.0,258.0,3824.0,7,128.0,126.5,68.0,0.4059737026691437,0.7928508096504737,0.6088878270218612,0.5774568320125582,0.08141885697841644,-0.4059737026691437,0.26239004731178284,0.29875290393829346,721.3715846994536
Ghana,Brong Ahafo,Deforestation_Hotspot,-3.523686617723029,8.9702620168681,2021,131.519608,295.0,502.5,917.5,663.5,1214.5,2684.0,3018.5,3025.0,3223.5,3083.5,2176.5,1244.5,251.0,3995.0,4,67.5,94.0,53.0,0.6402331590652466,1.8231297768856636,0.9602195716996476,0.7806328520327952,0.16312602162361145,-0.5345593094825745,0.4170277416706085,0.42705509066581726,719.9217420891459
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.903957200336376,10.534678084162246,2021,18.110185623168945,362.0,533.5,870.5,884.0,1579.0,2607.5,2926.5,2903.0,3093.5,3112.5,2737.5,1875.0,175.0,3877.5,4,90.0,89.0,54.5,0.533139705657959,1.1998573720805847,0.7996039603960396,0.6954509474808219,0.02934136986732483,-0.53862464427948,0.2151527851819992,0.2954038381576538,716.1023334953816
Ghana,Brong Ahafo,Deforestation_Hotspot,-4.43718343014417,9.65459860031035,2021,33.921409606933594,292.0,325.5,669.0,393.0,1214.0,2850.5,3273.5,3442.0,3588.5,3540.5,2113.0,1023.5,243.5,4044.5,4,40.5,68.5,33.5,0.7950456142425537,2.2687699977676914,1.1924129839655846,0.8858075025318612,0.23924392461776733,-0.6745317578315735,0.5415967106819153,0.47852233052253723,718.2439657806294
Ghana,Brong Ahafo,Deforestation_Hotspot,-8.987868996436843,10.871097158065007,2021,13.573183059692383,363.0,484.0,933.0,768.0,1607.0,3438.0,4084.0,4018.0,4259.0,3843.0,2711.0,1512.0,353.0,4080.0,4,79.0,95.0,49.0,0.6790639162063599,1.6259755853512106,1.0184895017235978,0.8088408888370395,0.19423390924930573,-0.6231064200401306,0.45316454768180847,0.42862221598625183,720.6553795740033
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.9167132773708735,10.363099864895418,2021,0.6243690252304077,329.0,403.0,770.5,534.0,1247.5,3213.0,3747.0,3705.0,3980.5,3600.0,2364.5,1241.5,176.5,4146.5,4,55.0,79.0,41.5,0.748053789138794,2.0392282958199357,1.1219483429649724,0.8558537964809148,0.2208583950996399,-0.6556809544563293,0.4980289041996002,0.49621403217315674,720.9018061561943
Ghana,Brong Ahafo,Deforestation_Hotspot,-7.132129282502735,10.547883318838803,2021,0.2040109932422638,478.0,592.0,894.0,898.0,1502.0,2550.0,2970.0,3006.0,3258.0,3340.0,3051.0,2040.0,204.0,3301.0,4,90.0,91.0,60.0,0.5399590134620667,1.3324905183312263,0.8098348059930849,0.7012292902904846,-0.007429420482367277,-0.5415384769439697,0.19143876433372498,0.3336291015148163,719.4274809160305
Ghana,Brong Ahafo,Deforestation_Hotspot,-6.876648415699143,10.084711958346778,2021,20.74277687072754,294.0,429.0,838.0,630.0,1434.0,2716.0,3157.0,3042.0,3394.0,3348.0,2482.0,1292.0,205.0,3515.0,4,65.0,86.0,44.0,0.656862735748291,1.672444875884066,0.9851599727705922,0.7928724152288851,0.10137581825256348,-0.5680412650108337,0.40378403663635254,0.3592493236064911,717.5448517940717
Bangladesh,Barisal,Mixed_Landscape,86.11775828010943,21.26505415296993,2019,11.038535118103027,549,712.0,1132,825.0,1590.0,2996.0,3363.0,3554.0,3589.0,3466.0,2421.0,1392,492.0,5368.0,4,84.0,116.0,73.0,0.6232016682624817,2.155608214849921,0.9346957415230049,0.7678421130272,0.18962343037128448,-0.5168587565422058,0.4371209144592285,0.38180404901504517,717.5462304409673
Bangladesh,Barisal,Mixed_Landscape,87.03709414187735,23.40484115974263,2019,11.715968132019043,1182,862.0,1076,981.0,1515.5,2611.5,3004.5,2913.5,3473.0,3161.5,2742.5,1709,444.0,4477.5,6,100.0,110.0,88.0,0.49621260166168213,2.0686148576321988,0.7442233632862645,0.6632532437997725,0.03023338131606579,-0.46058404445648193,0.26057329773902893,0.3156468868255615,720.240647810219
