Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,Train NRMSE,Test NRMSE,CV R² Mean,CV R² Std,Overfitting Gap
XGBoost,0.554037691545088,0.5169505741336535,64.72846658184703,67.24617880826221,42.09900202691744,43.12219978811515,0.12963455713753835,0.13458434978796546,0.5003114363728549,0.013066100922868942,0.037087117411434445
Random Forest,0.5598910479541797,0.5087379004076844,64.3022755996681,67.81542002048933,41.6983930893754,43.62782044971039,0.12878100564546158,0.13572361092930912,0.4969132747320028,0.011646404267892353,0.05115314754649525
